Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 6168,512,2012,112,1,238,163,23,0,0,little,strong,President Obama's Proposed 2012-2017 Offshore Drilling Lease Sale Plan Act
H R 459,513,2012,112,238,1,89,97,0,0,strong,moderate,Federal Reserve Transparency Act of 2012
H R 4078,536,2012,112,232,2,13,170,0,0,strong,little,Midnight Rule Relief Act of 2012
S 679,537,2012,112,95,115,166,1,0,0,moderate,strong,Presidential Appointment Efficiency and Streamlining Act of 2011
H R 828,538,2012,112,204,6,59,108,0,0,strong,little,Federal Employee Tax Accountability Act of 2012
H R 3803,539,2012,112,203,6,17,148,0,0,strong,little,District of Columbia Pain-Capable Unborn Child Protection Act
H R 4365,547,2012,112,232,3,182,3,0,0,strong,strong,"To amend title 5, United States Code, to make clear that accounts in the Thrift Savings Fund are subject to certain Federal tax levies."
H R 6169,552,2012,112,232,3,0,186,0,0,strong,none,"Pathway to Job Creation through a Simpler, Fairer Tax Code Act of 2012"
H R 6233,554,2012,112,188,46,35,151,0,0,strong,little,Agricultural Disaster Assistance Act of 2012
H R 6122,557,2012,112,214,0,163,0,0,0,strong,strong,"To revise the authority of the Librarian of Congress to accept gifts and bequests on behalf of the Library, and for other purposes."
H R 2139,558,2012,112,213,2,163,0,0,0,strong,strong,Lions Clubs International Century of Service Commemorative Coin Act
H R 6186,559,2012,112,204,11,160,0,0,0,strong,strong,"To require a study of voluntary community-based flood insurance options and how such options could be incorporated into the national flood insurance program, and for other purposes."
H R 4264,562,2012,112,223,7,179,0,0,0,strong,strong,FHA Emergency Fiscal Solvency Act of 2012
H R 5544,568,2012,112,223,8,2,181,0,0,strong,little,Minnesota Education Investment and Employment Act
H R 5949,569,2012,112,227,7,74,111,0,0,strong,moderate,FISA Amendments Act Reauthorization Act of 2012
H R 3857,570,2012,112,176,57,179,5,0,0,strong,strong,Public Transit Security and Local Law Enforcement Support Act
H R 5865,571,2012,112,157,76,182,1,0,0,moderate,strong,American Manufacturing Competitiveness Act of 2012
H R 1775,575,2012,112,229,2,181,1,0,0,strong,strong,Stolen Valor Act of 2011
H R 6365,577,2012,112,222,12,1,184,0,0,strong,little,National Security and Job Protection Act
S 3245,580,2012,112,228,3,184,0,0,0,strong,strong,"A bill to extend by 3 years the authorization of the EB-5 Regional Center Program, the E-Verify Program, the Special Immigrant Nonminister Religious Worker Program, and the Conrad State 30 J-1 Visa Waiver Program."
H R 6213,584,2012,112,223,4,22,157,0,0,strong,little,No More Solyndras Act
H R 5044,585,2012,112,226,0,174,0,0,0,strong,strong,Andrew P. Carpenter Tax Act
H R 5912,586,2012,112,225,0,85,95,0,0,strong,moderate,To amend the Internal Revenue Code of 1986 to prohibit the use of public funds for political party conventions.
H R 3409,603,2012,112,214,13,19,162,0,0,strong,little,Coal Miner Employment and Domestic Energy Infrastructure Protection Act
H R 6371,604,2012,112,212,3,149,0,0,0,strong,strong,Streamlining Claims Processing for Federal Contractor Employees Act
H R 2453,607,2012,112,207,18,163,1,0,0,strong,strong,Mark Twain Commemorative Coin Act
H R 6156,608,2012,112,227,6,138,37,0,0,strong,strong,Russia and Moldova Jackson-Vanik Repeal Act of 2012
H R 5997,609,2012,112,223,1,174,0,0,0,strong,strong,Medical Preparedness Allowable Use Act
H R 915,610,2012,112,222,3,175,1,0,0,strong,strong,Jaime Zapata Border Enforcement Security Task Force Act
H R 6429,613,2012,112,218,5,27,134,0,0,strong,little,STEM Jobs Act of 2012
H R 6582,614,2012,112,218,2,180,0,0,0,strong,strong,American Energy Manufacturing Technical Corrections Act
H R 6602,618,2012,112,216,0,176,0,0,0,strong,strong,"To make revisions in title 36, United States Code, as necessary to keep the title current and make technical corrections and improvements."
S 2367,619,2012,112,217,1,181,0,0,0,strong,strong,21st Century Language Act of 2012
H R 6190,623,2012,112,198,29,31,153,0,0,strong,little,Asthma Inhalers Relief Act of 2012
H R 4053,626,2012,112,222,0,180,0,0,0,strong,strong,Improper Payments Elimination and Recovery Improvement Act of 2012
H R 4606,627,2012,112,177,0,109,10,0,0,strong,moderate,"To authorize the issuance of right-of-way permits for natural gas pipelines in Glacier National Park, and for other purposes."
S 3193,628,2012,112,178,0,128,0,0,0,strong,strong,Barona Band of Mission Indians Land Transfer ClarificationAct of 2012
H R 6504,629,2012,112,187,36,172,0,0,0,strong,strong,Small Business Investment Company Modernization Act of 2012
H R 3783,630,2012,112,217,5,169,1,0,0,strong,strong,Countering Iran in the Western Hemisphere Act of 2012
H R 6621,631,2012,112,157,70,151,19,0,0,moderate,strong,"To correct and improve certain provisions of the Leahy-Smith America Invents Act and title 35, United States Code."
S 3642,632,2012,112,221,4,167,0,0,0,strong,strong,Theft of Trade Secrets Clarification Act of 2012
H R 6672,633,2012,112,205,16,178,0,0,0,strong,strong,Pandemic and All-Hazards Preparedness Reauthorization Act of 2012
H R 1845,634,2012,112,223,3,178,0,0,0,strong,strong,Medicare IVIG Access and Strengthening Medicare and Repaying Taxpayers Act of 2012
H R 6655,636,2012,112,151,77,179,0,0,0,moderate,strong,Protect our Kids Act of 2012
S 3564,637,2012,112,227,1,182,0,0,0,strong,strong,To extend the Public Interest Declassification Act of 2000 until 2014 and for other purposes.
H R 6016,638,2012,112,224,0,178,2,0,0,strong,strong,Government Employee Accountability Act
H R 6684,644,2012,112,215,21,0,188,0,0,strong,none,To provide for spending reduction.
H R 4310,645,2012,112,205,30,110,77,0,0,strong,moderate,United States Fire Administration Reauthorization Act of 2012
H R 3197,646,2012,112,234,1,187,0,0,0,strong,strong,"To name the Department of Veterans Affairs medical center in Spokane, Washington, as the ""Mann-Grandstaff Department of Veterans Affairs Medical Center""."
H R 6443,647,2012,112,236,0,186,0,0,0,strong,strong,"To designate the facility of the Department of Veterans Affairs located at 9800 West Commercial Boulevard in Sunrise, Florida, as the ""William 'Bill' Kling VA Clinic""."
S 925,648,2012,112,228,6,180,1,0,0,strong,strong,Mt. Andrea Lawrence Designation Act of 2011
H R 3159,649,2012,112,221,0,169,0,0,0,strong,strong,Foreign Aid Transparency and Accountability Act of 2012
H R 4057,650,2012,112,220,3,172,0,0,0,strong,strong,Improving Transparency of Education Opportunities for Veterans Act of 2012
S 3202,651,2012,112,220,0,173,0,0,0,strong,strong,Dignified Burial of Veterans Act of 2012
S 3454,652,2012,112,222,5,151,24,0,0,strong,strong,Intelligence Authorization Act for Fiscal Year 2013
H R 6612,653,2012,112,227,0,177,0,0,0,strong,strong,To redesignate the Dryden Flight Research Center as the Neil A. Armstrong Flight Research Center and the Western Aeronautical Test Range as the Hugh L. Dryden Aeronautical Test Range.
H R 6364,654,2012,112,223,5,178,0,0,0,strong,strong,Frank Buckles World War I Memorial Act
H R 6726,655,2012,112,232,2,55,127,0,0,strong,little,Congressional Pay Freeze and Fiscal Responsibility Act
H R 4212,657,2012,112,195,37,183,0,0,0,strong,strong,Contaminated Drywall Safety Act of 2012
H R 41,7,2013,113,161,67,193,0,0,0,strong,strong,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program.
H R 219,8,2013,113,222,0,181,0,0,0,strong,strong,Sandy Recovery Improvement Act of 2013
H R 152,23,2013,113,49,179,192,1,0,0,little,strong,"Making supplemental appropriations for the fiscalyear ending September 30, 2013, to improve andstreamline disaster assistance for HurricaneSandy, and for other purposes."
H R 325,30,2013,113,199,33,86,111,0,0,strong,moderate,"No Budget, No Pay Act of 2013"
H R 225,31,2013,113,193,27,182,0,0,0,strong,strong,National Pediatric Research Network Act of 2013
H R 444,38,2013,113,227,1,26,166,0,0,strong,little,Require a PLAN Act
H R 592,39,2013,113,224,6,130,66,0,0,strong,moderate,Federal Disaster Assistance Nonprofit Fairness Act of 2013
H R 267,40,2013,113,228,0,194,0,0,0,strong,strong,Hydropower Regulatory Efficiency Act of 2013
H R 273,44,2013,113,218,10,43,144,0,0,strong,little,To eliminate the 2013 statutory pay adjustment for Federal employees.
H R 667,47,2013,113,213,0,181,0,0,0,strong,strong,To redesignate the Dryden Flight Research Center as the Neil A. Armstrong Flight Research Center and the Western Aeronautical Test Range as the Hugh L. Dryden Aeronautical Test Range.
H R 307,56,2013,113,192,28,178,0,0,0,strong,strong,Pandemic and All-Hazards Preparedness Reauthorization Act of 2013
H R 668,57,2013,113,229,0,163,28,0,0,strong,strong,"To amend section 1105(a) of title 31, United States Code, to require that annual budget submissions of the President to Congress provide an estimate of the cost per taxpayer of the deficit, and for other purposes."
H R 338,58,2013,113,224,5,197,0,0,0,strong,strong,Stop Tobacco Smuggling in the Territories Act of 2013
H R 1035,63,2013,113,208,17,189,0,0,0,strong,strong,"To require a study of voluntary community-based flood insurance options and how such options could be incorporated into the national flood insurance program, and for other purposes."
H R 890,68,2013,113,228,3,18,178,0,0,strong,little,Preserving the Welfare Work Requirement and TANF Extension Act of 2013
H R 933,89,2013,113,203,27,115,82,0,0,strong,moderate,"Full-Year Continuing Appropriations Act, 2013"
H R 254,90,2013,113,219,1,181,3,0,0,strong,strong,Bonneville Unit Clean Hydropower Facilitation Act
H R 1033,91,2013,113,101,122,182,0,0,0,moderate,strong,American Battlefield Protection Program Amendments Act of 2013
H R 678,96,2013,113,228,0,188,7,0,0,strong,strong,Bureau of Reclamation Small Conduit Hydropower Development and Rural Jobs Act
H R 1120,101,2013,113,219,10,0,199,0,0,strong,none,Preventing Greater Uncertainty in Labor-Management Relations Act
H R 1162,103,2013,113,222,0,186,0,0,0,strong,strong,Government Accountability Office Improvement Act
H R 882,104,2013,113,220,0,187,0,0,0,strong,strong,Contracting and Tax Accountability Act of 2013
H R 249,105,2013,113,215,7,35,152,0,0,strong,little,Federal Employee Tax Accountability Act of 2013
H R 756,107,2013,113,207,16,195,0,0,0,strong,strong,Cybersecurity Enhancement Act of 2013
H R 967,108,2013,113,210,11,196,0,0,0,strong,strong,Advancing America's Networking and Information Technology Research and Development Act of 2013
H R 624,117,2013,113,196,29,92,98,0,0,strong,moderate,Cyber Intelligence Sharing and Protection Act
H R 1067,118,2013,113,221,0,188,0,0,0,strong,strong,"To make revisions in title 36, United States Code, as necessary to keep the title current and make technical corrections and improvements."
H R 1068,119,2013,113,221,0,188,0,0,0,strong,strong,"To enact title 54, United States Code, ""National Park Service and Related Programs"", as positive law."
H R 1765,125,2013,113,202,12,159,29,0,0,strong,strong,Reducing Flight Delays Act of 2013
H R 588,129,2013,113,213,2,185,0,0,0,strong,strong,Vietnam Veterans Donor Acknowledgment Act of 2013
H R 291,130,2013,113,212,2,178,0,0,0,strong,strong,Black Hills Cemetery Act
H R 507,131,2013,113,216,2,185,0,0,0,strong,strong,Pascua Yaqui Tribe Trust Land Act
H R 1406,137,2013,113,220,8,3,196,0,0,strong,little,Working Families Flexibility Act of 2013
H R 807,142,2013,113,221,8,0,199,0,0,strong,none,Full Faith and Credit Act
H R 180,144,2013,113,222,2,184,0,0,0,strong,strong,National Blue Alert Act of 2013
H R 1580,145,2013,113,223,0,190,0,0,0,strong,strong,To affirm the policy of the United States regarding Internet governance.
H R 701,148,2013,113,229,0,187,6,0,0,strong,strong,To amend a provision of the Securities Act of 1933 directing the Securities and Exchange Commission to add a particular class of securities to those exempted under such Act to provide a deadline for such action.
H R 384,149,2013,113,227,3,193,0,0,0,strong,strong,Homes for Heroes Act of 2013
H R 45,154,2013,113,227,0,2,195,0,0,strong,little,To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010.
H R 1062,160,2013,113,218,0,17,161,0,0,strong,little,SEC Regulatory Accountability Act
H R 258,161,2013,113,207,3,183,0,0,0,strong,strong,Stolen Valor Act of 2013
H R 1073,162,2013,113,206,3,184,0,0,0,strong,strong,Nuclear Terrorism Conventions Implementation and Safety of Maritime Navigation Act of 2013
H R 324,165,2013,113,220,0,195,0,0,0,strong,strong,"To grant the Congressional Gold Medal, collectively, to the First Special Service Force, in recognition of its superior service during World War II."
H R 1344,166,2013,113,219,0,194,0,0,0,strong,strong,Helping Heroes Fly Act
H R 1206,184,2013,113,222,0,179,0,0,0,strong,strong,Permanent Electronic Duck Stamp Act of 2013
S 622,185,2013,113,222,0,168,12,0,0,strong,strong,Animal Drug and Animal Generic Drug User Fee Reauthorization Act of 2013
H R 2216,193,2013,113,229,0,192,4,0,0,strong,strong,"Military Construction and Veterans Affairs, and Related Agencies Appropriations Act, 2014"
H R 2217,211,2013,113,220,10,25,172,0,0,strong,little,"Department of Homeland Security Appropriations Act, 2014"
H R 1157,213,2013,113,224,0,185,0,0,0,strong,strong,Rattlesnake Mountain Public Access Act
H R 634,215,2013,113,230,0,181,12,0,0,strong,strong,Business Risk Mitigation and Price Stabilization Act of 2013
H R 742,216,2013,113,229,0,191,2,0,0,strong,strong,Swap Data Repository and Clearinghouse Indemnification Correction Act of 2013
H R 1256,218,2013,113,228,2,73,122,0,0,strong,moderate,Swap Jurisdiction Certainty Act
H R 1038,219,2013,113,230,0,193,0,0,0,strong,strong,Public Power Risk Management Act of 2013
H R 1960,244,2013,113,212,18,103,90,0,0,strong,moderate,National Defense Authorization Act for Fiscal Year 2014
H R 876,245,2013,113,211,0,187,0,0,0,strong,strong,Idaho Wilderness Water Resources Protection Act
H R 253,246,2013,113,210,1,187,0,0,0,strong,strong,Y Mountain Access Enhancement Act
H R 862,247,2013,113,209,1,186,0,0,0,strong,strong,To authorize the conveyance of two small parcels of land within the boundaries of the Coconino National Forest containing private improvements that were developed based upon the reliance of the landowners in an erroneous survey conducted in May 1960.
H R 1151,250,2013,113,229,0,195,0,0,0,strong,strong,"To direct the Secretary of State to develop a strategy to obtain observer status for Taiwan at the triennial International Civil Aviation Organization Assembly, and for other purposes."
H R 1797,251,2013,113,222,6,6,190,0,0,strong,little,Pain-Capable Unborn Child Protection Act
H R 1896,252,2013,113,200,27,194,0,0,0,strong,strong,International Child Support Recovery Improvement Act of 2013
H R 1947,286,2013,113,171,62,24,172,0,0,strong,little,Federal Agriculture Reform and Risk Management Act of 2013
H R 2383,287,2013,113,212,2,183,0,0,0,strong,strong,"To designate the new Interstate Route 70 bridge over the Mississippi River connecting St. Louis, Missouri, and southwestern Illinois as the ""Stan Musial Veterans Memorial Bridge""."
H R 1092,288,2013,113,210,3,182,0,0,0,strong,strong,"To designate the air route traffic control center located in Nashua, New Hampshire, as the ""Patricia Clark Boston Air Route Traffic Control Center""."
H R 1613,293,2013,113,228,1,28,170,0,0,strong,little,Outer Continental Shelf Transboundary Hydrocarbon Agreements Authorization Act
H R 1864,294,2013,113,226,0,197,0,0,0,strong,strong,"To amend title 10, United States Code, to require an Inspector General investigation of allegations of retaliatory personnel actions taken in response to making protected communications regarding sexual assault."
H R 2231,304,2013,113,219,6,16,180,0,0,strong,little,Offshore Energy and Jobs Act
H R 1341,305,2013,113,207,0,146,24,0,0,strong,strong,Financial Competitive Act of 2013
H R 1564,306,2013,113,211,0,110,62,0,0,strong,moderate,Audit Integrity and Job Protection Act
H R 1171,307,2013,113,212,1,175,0,0,0,strong,strong,Formerly Owned Resources for Veterans to Express Thanks for Service Act of 2013
H R 2609,345,2013,113,219,9,8,189,0,0,strong,little,"Energy and Water Development and Related Agencies Appropriations Act, 2014"
H R 1848,355,2013,113,223,0,188,0,0,0,strong,strong,Small Airplane Revitalization Act of 2013
H R 2667,361,2013,113,229,1,35,160,0,0,strong,little,Authority for Mandate Delay Act
H R 2668,363,2013,113,229,1,22,173,0,0,strong,little,"To delay the application of the individual health insurancemandate, to delay the application of the employer healthinsurance mandate, and for other purposes."
H R 1542,375,2013,113,215,2,173,1,0,0,strong,strong,WMD Intelligence and Information Sharing Act of 2013
H R 2397,414,2013,113,220,8,95,101,0,0,strong,moderate,"Department of Defense Appropriations Act, 2014"
H R 2610,425,2013,113,9,215,107,80,0,0,little,moderate,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2014"
H R 1911,426,2013,113,221,6,171,25,0,0,strong,strong,Bipartisan Student Loan Certainty Act of 2013
H R 850,427,2013,113,222,3,178,17,0,0,strong,strong,Nuclear Iran Prevention Act of 2013
H R 1582,432,2013,113,223,0,9,181,0,0,strong,little,Energy Consumers Relief Act of 2013
H R 1897,435,2013,113,220,2,185,1,0,0,strong,strong,Vietnam Human Rights Act of 2013
H R 2879,436,2013,113,224,2,15,174,0,0,strong,little,Stop Government Abuse Act
H R 367,445,2013,113,226,0,6,183,0,0,strong,little,Regulations From the Executive in Need of Scrutiny Act of 2013
H R 2009,447,2013,113,228,0,4,185,0,0,strong,little,Keep the IRS Off Your Health Care Act of 2013
H R 2052,448,2013,113,194,32,185,0,0,0,strong,strong,Global Investment in American Jobs Act of 2013
H R 2844,449,2013,113,227,0,188,0,0,0,strong,strong,Federal Communications Commission Consolidated Reporting Act of 2013
H R 1155,450,2013,113,221,6,176,0,0,0,strong,strong,National Association of Registered Agents and Brokers Reform Act of 2013
H R 2747,451,2013,113,218,10,178,0,0,0,strong,strong,Streamlining Claims Processing for Federal Contractor Employees Act
S 130,452,2013,113,226,1,182,0,0,0,strong,strong,Powell Shooting Range Land Conveyance Act
S 304,453,2013,113,226,1,193,0,0,0,strong,strong,Natchez Trace Parkway Land Conveyance Act of 2013
S 256,454,2013,113,227,0,188,0,0,0,strong,strong,"A bill to amend Public Law 93-435 with respect to the Northern Mariana Islands, providing parity with Guam, the Virgin Islands, and American Samoa."
S 459,455,2013,113,222,5,192,0,0,0,strong,strong,Minuteman Missile National Historic Site Boundary Modification Act
H R 3092,460,2013,113,221,2,186,0,0,0,strong,strong,"E. Clay Shaw, Jr. Missing Children's Assistance Reauthorization Act of 2013"
H R 2449,461,2013,113,224,0,183,0,0,0,strong,strong,"To authorize the President to extend the term of the Agreement for Cooperation between the Government of the United States of America and the Government of the Republic of Korea Concerning Civil Uses of Nuclear Energy for a period not to exceed March 19, 2016."
S 793,462,2013,113,202,24,181,0,0,0,strong,strong,Organization of American States Revitalization and Reform Act of 2013
H R 301,465,2013,113,207,21,195,1,0,0,strong,strong,To provide for the establishment of the Special Envoy to Promote Religious Freedom of Religious Minorities in the Near East and South Central Asia.
H R 761,471,2013,113,231,0,15,178,0,0,strong,little,National Strategic and Critical Minerals Production Act of 2013
H R 3102,476,2013,113,217,15,0,195,0,0,strong,none,Nutrition Reform and Work Opportunity Act of 2013
H R 1526,483,2013,113,227,1,17,172,0,0,strong,little,Restoring Healthy Forests for Healthy Communities Act
H R 1961,484,2013,113,198,5,82,84,0,0,strong,moderate,"To amend title 46, United States Code, to extend the exemption from the fire-retardant materials construction requirement for vessels operating within the Boundary Line."
H R 3095,486,2013,113,222,0,183,0,0,0,strong,strong,"To ensure that any new or revised requirement providing for the screening, testing, or treatment of individuals operating commercial motor vehicles for sleep disorders is adopted pursuant to a rulemaking proceeding, and for other purposes."
H R 2600,487,2013,113,224,0,186,0,0,0,strong,strong,To amend the Interstate Land Sales Full Disclosure Act to clarify how the Act applies to condominiums.
H R 687,490,2013,113,6,216,185,1,0,0,little,strong,Southeast Arizona Land Exchange and Conservation Act of 2013
H R 1412,491,2013,113,222,0,180,0,0,0,strong,strong,Department of Veterans Affairs Expiring Authorities Act of 2013
H R 3096,492,2013,113,219,2,184,0,0,0,strong,strong,"To designate the building occupied by the Federal Bureau of Investigation located at 801 Follin Lane, Vienna, Virginia, as the ""Michael D. Resnick Terrorist Screening Center""."
H R 2251,496,2013,113,225,3,191,1,0,0,strong,strong,"To designate the United States courthouse and Federal building located at 118 South Mill Street, in Fergus Falls, Minnesota, as the ""Edward J. Devitt United States Courthouse and Federal Building.""."
H R 3210,499,2013,113,231,0,192,0,0,0,strong,strong,Pay Our Military Act
H R 2848,500,2013,113,194,35,190,2,0,0,strong,strong,"Department of State Operations and Embassy Security Authorization Act, Fiscal Year 2014"
S 1348,503,2013,113,192,35,195,0,0,0,strong,strong,Congressional Award Program Reauthorization Act of 2013
H R 3230,516,2013,113,229,0,36,160,0,0,strong,little,"Veterans Access, Choice, and Accountability Act of 2014"
H R 3223,525,2013,113,218,0,189,0,0,0,strong,strong,Federal Employee Retroactive Pay Fairness Act
H R 3273,534,2013,113,222,5,2,192,0,0,strong,little,Deficit Reduction and Economic Growth Working Group Act of 2013
H R 2642,546,2013,113,9,204,186,0,0,0,little,strong,Agricultural Act of 2014
H R 2775,550,2013,113,87,144,198,0,0,0,moderate,strong,"Continuing Appropriations Act, 2014"
H R 185,551,2013,113,212,1,190,0,0,0,strong,strong,"To designate the United States courthouse located at 101 East Pecan Street in Sherman, Texas, as the ""Paul Brown United States Courthouse""."
H R 3205,552,2013,113,212,0,190,0,0,0,strong,strong,Promoting Adoption and Legal Guardianship for Children in Foster Care Act
H R 2011,562,2013,113,219,2,185,0,0,0,strong,strong,Veterans' Advisory Committee on Education Improvement Act of 2013
H R 2374,567,2013,113,224,1,30,165,0,0,strong,little,Retail Investor Protection Act
H R 992,569,2013,113,222,3,70,119,0,0,strong,moderate,Swaps Regulatory Improvement Act
H R 2871,571,2013,113,212,0,189,0,0,0,strong,strong,"To amend title 28, United States Code, to modify the composition of the southern judicial district of Mississippi to improve judicial efficiency, and for other purposes."
H R 2922,572,2013,113,213,1,186,2,0,0,strong,strong,To extend the authority of the Supreme Court Police to protect court officials away from the Supreme Court grounds.
H R 982,579,2013,113,216,7,5,192,0,0,strong,little,Furthering Asbestos Claim Transparency (FACT) Act of 2013
H R 2655,581,2013,113,225,2,3,193,0,0,strong,little,Lawsuit Abuse Reduction Act of 2013
H R 3350,587,2013,113,222,4,39,153,0,0,strong,little,Keep Your Health Plan Act of 2013
H R 272,589,2013,113,208,0,180,0,0,0,strong,strong,"To designate the Department of Veterans Affairs and Department of Defense joint outpatient clinic to be constructed in Marina, California, as the ""Major General William H. Gourley VA-DOD Outpatient Clinic""."
H R 2728,604,2013,113,223,2,12,185,0,0,strong,little,Protecting States' Rights to Promote American Energy Security Act
H R 1900,611,2013,113,226,0,26,165,0,0,strong,little,Natural Gas Pipeline Permitting Reform Act
H R 3547,612,2013,113,201,5,175,0,0,0,strong,strong,"Consolidated Appropriations Act, 2014"
H R 3588,613,2013,113,209,0,175,0,0,0,strong,strong,Community Fire Safety Act of 2013
H R 255,615,2013,113,220,0,186,0,0,0,strong,strong,"To amend certain definitions contained in the Provo River Project Transfer Act for purposes of clarifying certain property descriptions, and for other purposes."
H R 1204,617,2013,113,218,3,193,0,0,0,strong,strong,Aviation Security Stakeholder Participation Act of 2014
H R 3309,629,2013,113,195,27,130,64,0,0,strong,moderate,Innovation Act
H R 3521,630,2013,113,191,1,155,0,0,0,strong,strong,Department of Veterans Affairs Major Medical Facility Lease Authorization Act of 2013
H R 1402,631,2013,113,196,0,157,0,0,0,strong,strong,VA Expiring Authorities Extension Act of 2013
H R 2019,632,2013,113,223,1,72,102,0,0,strong,moderate,Gabriella Miller Kids First Research Act
H R 2319,633,2013,113,225,0,173,0,0,0,strong,strong,Native American Veterans' Memorial Amendments Act of 2013
S 1471,634,2013,113,225,1,173,0,0,0,strong,strong,Alicia Dawn Koehl Respect for National Cemeteries Act
H R 3212,635,2013,113,225,0,173,0,0,0,strong,strong,Sean and David Goldman International Child Abduction Prevention and Return Act of 2014
H R 1992,636,2013,113,225,0,174,0,0,0,strong,strong,Israel QME Enhancement Act
H R 724,2,2014,113,220,0,185,0,0,0,strong,strong,To amend the Clean Air Act to remove the requirement for dealer certification of new light-duty motor vehicles.
H R 3527,3,2014,113,202,18,186,0,0,0,strong,strong,Poison Center Network Act
H R 3628,4,2014,113,221,0,185,0,0,0,strong,strong,Transportation Reports Elimination Act of 2014
H R 2279,10,2014,113,220,4,5,184,0,0,strong,little,Reducing Excessive Deadline Obligations Act of 2013
H R 3811,11,2014,113,224,0,67,122,0,0,strong,moderate,Health Exchange Security and Transparency Act of 2014
H R 1513,12,2014,113,219,0,177,0,0,0,strong,strong,"To revise the boundaries of the Gettysburg National Military Park to include the Gettysburg Train Station and certain land along Plum Run in Cumberland Township, to limit the means by which property within such revised boundaries may be acquired, and for other purposes."
S 230,13,2014,113,211,7,176,0,0,0,strong,strong,"A bill to authorize the Peace Corps Commemorative Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes."
H R 2274,14,2014,113,228,0,194,0,0,0,strong,strong,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2014"
H R 801,15,2014,113,228,0,189,4,0,0,strong,strong,Holding Company Registration Threshold Equalization Act of 2014
H R 2860,17,2014,113,227,0,191,0,0,0,strong,strong,OPM IG Act
H R 1233,18,2014,113,227,0,193,0,0,0,strong,strong,Presidential and Federal Records Act Amendments of 2014
H R 3362,23,2014,113,226,0,33,154,0,0,strong,little,Exchange Information Disclosure Act
H R 2166,24,2014,113,215,0,179,0,0,0,strong,strong,Good Samaritan Search and Recovery Act
H R 1791,32,2014,113,209,2,182,0,0,0,strong,strong,Medical Preparedness Allowable Use Act
H R 3964,50,2014,113,222,2,7,189,0,0,strong,little,Sacramento-San Joaquin Valley Emergency Water Delivery Act
H R 2431,55,2014,113,192,21,173,0,0,0,strong,strong,National Integrated Drought Information System Reauthorization Act of 2014
S 25,60,2014,113,206,19,120,71,0,0,strong,moderate,"To ensure that the reduced annual cost-of-living adjustment to the retired pay of members and former members of the Armed Forces under the age of 62 required by the Bipartisan Budget Act of 2013 will not apply to members or former members who first became members prior to January 1, 2014, and for other purposes."
S 540,61,2014,113,28,199,193,2,0,0,little,strong,Temporary Debt Limit Extension Act
H R 3448,62,2014,113,219,4,193,0,0,0,strong,strong,Small Cap Liquidity Reform Act of 2014
H R 1211,63,2014,113,220,0,190,0,0,0,strong,strong,FOIA Act
H R 1944,67,2014,113,226,0,127,65,0,0,strong,moderate,Private Property Rights Protection Act of 2014
H R 3865,70,2014,113,1,228,176,13,0,0,little,strong,Stop Targeting of Political Beliefs by the IRS Act of 2014
H R 2804,78,2014,113,226,0,10,179,0,0,strong,little,Achieving Less Excess in Regulation and Requiring Transparency Act of 2014
H R 899,90,2014,113,217,0,17,176,0,0,strong,little,Unfunded Mandates Information and Transparency Act of 2014
H R 3370,91,2014,113,126,86,180,5,0,0,moderate,strong,Homeowner Flood Insurance Affordability Act of 2014
H R 938,95,2014,113,223,1,187,0,0,0,strong,strong,United States-Israel Strategic Partnership Act of 2014
H R 2126,98,2014,113,191,33,184,3,0,0,strong,strong,Energy Efficiency Improvement Act of 2014
H R 2641,113,2014,113,217,0,12,179,0,0,strong,little,Responsibly And Professionally Invigorating Development Act of 2014
H R 3474,115,2014,113,223,0,183,1,0,0,strong,strong,Hire More Heroes Act of 2014
H R 4138,124,2014,113,228,0,5,181,0,0,strong,little,ENFORCE the Law Act of 2014
H R 3973,129,2014,113,226,1,18,170,0,0,strong,little,Faithful Execution of the Law Act of 2014
H R 3060,136,2014,113,218,0,180,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 232 Southwest Johnson Avenue in Burleson, Texas, as the ""Sergeant William Moody Post Office Building""."
H R 1813,137,2014,113,216,0,177,0,0,0,strong,strong,"To redesignate the facility of the United States Postal Service located at 162 Northeast Avenue in Tallmadge, Ohio, as the ""Lance Corporal Daniel Nathan Deyarmin, Jr., Post Office Building""."
H R 1459,147,2014,113,219,10,3,191,0,0,strong,little,Ensuring Public Involvement in the Creation of National Monuments Act
H R 4278,148,2014,113,210,17,189,2,0,0,strong,strong,Ukraine Support Act
H R 4152,149,2014,113,190,32,188,2,0,0,strong,strong,"Support for the Sovereignty, Integrity, Democracy, and Economic Stability of Ukraine Act of 2014"
S 2183,150,2014,113,211,10,188,2,0,0,strong,strong,"A bill entitled ""United States International Programming to Ukraine and Neighboring Regions""."
H R 2575,156,2014,113,230,0,18,179,0,0,strong,little,Save American Workers Act of 2014
